trainset,DDDM-VC,Diff-HierVC,DiffGAN,Elevenlabs,MMSTTS,MeloTTS,OpenVoice,SeamlessM4T-TTS,StarGANv2-VC,StyleTTS2,Tortoise-TTS,VITS-TTS,VITS-VC
DDDM-VC,100.0,16.9375,20.5,0.0,0.13888888888888573,0.0,0.0,0.0,5.333333333333314,0.0,0.4375,0.0,0.4166666666666856
Diff-HierVC,1.375,100.0,0.0,0.0,0.0,0.0,0.0,0.3409090909090935,97.20833333333333,0.0,2.3541666666666856,8.353658536585357,0.04166666666665719
DiffGAN,0.0,0.0625,100.0,0.07500000000000284,0.0,0.0,0.0,0.0568181818182012,0.0,0.9615384615384386,6.416666666666686,2.439024390243901,0.0
Elevenlabs,0.0625,4.3125,5.5,100.0,30.138888888888886,72.125,8.70192307692308,99.26136363636364,7.958333333333314,4.807692307692307,45.25,26.463414634146346,0.0
MMSTTS,0.4375,0.75,0.25,55.775,100.0,26.5,8.07692307692308,56.25,0.0,8.65384615384616,7.979166666666686,0.09146341463412,0.04166666666665719
MeloTTS,0.0,2.6875,11.0,71.925,20.20833333333333,100.0,21.15384615384616,90.22727272727273,1.7083333333333144,12.980769230769226,44.104166666666664,13.048780487804876,0.0
OpenVoice,0.0,0.0,19.5,0.0,0.0,10.375,100.0,0.0,0.0,0.1923076923076934,0.125,0.0,0.0
SeamlessM4T-TTS,0.0625,8.25,0.0,65.775,13.888888888888886,60.75,0.1442307692307594,100.0,9.75,0.1923076923076934,14.270833333333329,4.420731707317074,0.04166666666665719
StarGANv2-VC,2.5625,98.3125,0.0,0.0,0.0,0.125,0.0,2.8409090909090935,100.0,0.0,9.3125,19.268292682926827,0.04166666666665719
StyleTTS2,0.0,0.0625,1.5,0.5499999999999972,2.9861111111111143,11.375,0.0,0.0,0.0,100.0,6.666666666666686,0.06097560975609895,0.0
Tortoise-TTS,5.875,50.1875,21.75,2.375,0.3472222222222001,18.0,1.9230769230769198,11.193181818181813,73.5,2.4038461538461604,100.0,8.323170731707322,0.04166666666665719
VITS-TTS,0.0,58.0,76.75,5.375,3.4027777777777573,22.375,0.0,20.681818181818173,78.29166666666667,0.1923076923076934,40.72916666666667,100.0,0.3333333333333144
VITS-VC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666668561,0.0,0.125,0.0,100.0
